itemid,datasetid,hasbird
b109_110_120,TUT-acoustic-scenes-2017,0
b109_90_100,TUT-acoustic-scenes-2017,0
b109_100_110,TUT-acoustic-scenes-2017,0
b109_50_60,TUT-acoustic-scenes-2017,0
b109_30_40,TUT-acoustic-scenes-2017,0
b109_40_50,TUT-acoustic-scenes-2017,0
b109_0_10,TUT-acoustic-scenes-2017,0
b109_20_30,TUT-acoustic-scenes-2017,0
b109_10_20,TUT-acoustic-scenes-2017,0
b109_60_70,TUT-acoustic-scenes-2017,0
b109_80_90,TUT-acoustic-scenes-2017,0
b109_70_80,TUT-acoustic-scenes-2017,0
b109_180_190,TUT-acoustic-scenes-2017,0
b109_190_200,TUT-acoustic-scenes-2017,0
b109_200_210,TUT-acoustic-scenes-2017,0
b109_220_230,TUT-acoustic-scenes-2017,0
b109_230_240,TUT-acoustic-scenes-2017,0
b109_210_220,TUT-acoustic-scenes-2017,0
b109_240_250,TUT-acoustic-scenes-2017,0
b109_260_270,TUT-acoustic-scenes-2017,0
b109_250_260,TUT-acoustic-scenes-2017,0
b109_120_130,TUT-acoustic-scenes-2017,0
b109_140_150,TUT-acoustic-scenes-2017,0
b109_130_140,TUT-acoustic-scenes-2017,0
b109_160_170,TUT-acoustic-scenes-2017,0
b109_170_180,TUT-acoustic-scenes-2017,0
b109_150_160,TUT-acoustic-scenes-2017,0
a112_100_110,TUT-acoustic-scenes-2017,0
a112_110_120,TUT-acoustic-scenes-2017,0
a112_90_100,TUT-acoustic-scenes-2017,0
a112_130_140,TUT-acoustic-scenes-2017,0
a112_140_150,TUT-acoustic-scenes-2017,0
a112_120_130,TUT-acoustic-scenes-2017,0
a112_50_60,TUT-acoustic-scenes-2017,0
a112_30_40,TUT-acoustic-scenes-2017,0
a112_40_50,TUT-acoustic-scenes-2017,0
a112_80_90,TUT-acoustic-scenes-2017,0
a112_60_70,TUT-acoustic-scenes-2017,0
a112_70_80,TUT-acoustic-scenes-2017,0
a112_20_30,TUT-acoustic-scenes-2017,0
a112_10_20,TUT-acoustic-scenes-2017,0
a112_0_10,TUT-acoustic-scenes-2017,0
b110_230_240,TUT-acoustic-scenes-2017,0
b110_210_220,TUT-acoustic-scenes-2017,0
b110_220_230,TUT-acoustic-scenes-2017,0
b110_130_140,TUT-acoustic-scenes-2017,0
b110_120_130,TUT-acoustic-scenes-2017,0
b110_140_150,TUT-acoustic-scenes-2017,0
b110_180_190,TUT-acoustic-scenes-2017,0
b110_200_210,TUT-acoustic-scenes-2017,0
b110_190_200,TUT-acoustic-scenes-2017,0
b110_170_180,TUT-acoustic-scenes-2017,0
b110_150_160,TUT-acoustic-scenes-2017,0
b110_160_170,TUT-acoustic-scenes-2017,0
b110_270_280,TUT-acoustic-scenes-2017,0
b110_290_300,TUT-acoustic-scenes-2017,0
b110_280_290,TUT-acoustic-scenes-2017,0
b110_100_110,TUT-acoustic-scenes-2017,0
b110_90_100,TUT-acoustic-scenes-2017,0
b110_110_120,TUT-acoustic-scenes-2017,0
b110_30_40,TUT-acoustic-scenes-2017,0
b110_40_50,TUT-acoustic-scenes-2017,0
b110_50_60,TUT-acoustic-scenes-2017,0
b110_10_20,TUT-acoustic-scenes-2017,0
b110_20_30,TUT-acoustic-scenes-2017,0
b110_0_10,TUT-acoustic-scenes-2017,0
b110_250_260,TUT-acoustic-scenes-2017,0
b110_240_250,TUT-acoustic-scenes-2017,0
b110_260_270,TUT-acoustic-scenes-2017,0
b110_60_70,TUT-acoustic-scenes-2017,0
b110_70_80,TUT-acoustic-scenes-2017,0
b110_80_90,TUT-acoustic-scenes-2017,0
b111_173_183,TUT-acoustic-scenes-2017,0
b111_163_173,TUT-acoustic-scenes-2017,0
b111_183_193,TUT-acoustic-scenes-2017,0
b111_10_20,TUT-acoustic-scenes-2017,0
b111_0_10,TUT-acoustic-scenes-2017,0
b111_20_30,TUT-acoustic-scenes-2017,0
b111_153_163,TUT-acoustic-scenes-2017,0
b111_133_143,TUT-acoustic-scenes-2017,0
b111_143_153,TUT-acoustic-scenes-2017,0
b111_103_113,TUT-acoustic-scenes-2017,0
b111_123_133,TUT-acoustic-scenes-2017,0
b111_113_123,TUT-acoustic-scenes-2017,0
b111_43_53,TUT-acoustic-scenes-2017,0
b111_53_63,TUT-acoustic-scenes-2017,0
b111_63_73,TUT-acoustic-scenes-2017,0
b111_193_203,TUT-acoustic-scenes-2017,0
b111_213_223,TUT-acoustic-scenes-2017,0
b111_203_213,TUT-acoustic-scenes-2017,0
b111_83_93,TUT-acoustic-scenes-2017,0
b111_93_103,TUT-acoustic-scenes-2017,0
b111_73_83,TUT-acoustic-scenes-2017,0
b112_223_233,TUT-acoustic-scenes-2017,0
b112_203_213,TUT-acoustic-scenes-2017,0
b112_213_223,TUT-acoustic-scenes-2017,0
b112_133_143,TUT-acoustic-scenes-2017,0
b112_123_133,TUT-acoustic-scenes-2017,0
b112_113_123,TUT-acoustic-scenes-2017,0
b112_50_60,TUT-acoustic-scenes-2017,0
b112_40_50,TUT-acoustic-scenes-2017,0
b112_30_40,TUT-acoustic-scenes-2017,0
b112_70_80,TUT-acoustic-scenes-2017,0
b112_80_90,TUT-acoustic-scenes-2017,0
b112_60_70,TUT-acoustic-scenes-2017,0
b112_193_203,TUT-acoustic-scenes-2017,0
b112_173_183,TUT-acoustic-scenes-2017,0
b112_183_193,TUT-acoustic-scenes-2017,0
b112_143_153,TUT-acoustic-scenes-2017,0
b112_153_163,TUT-acoustic-scenes-2017,0
b112_163_173,TUT-acoustic-scenes-2017,0
b112_10_20,TUT-acoustic-scenes-2017,0
b112_20_30,TUT-acoustic-scenes-2017,0
b112_0_10,TUT-acoustic-scenes-2017,0
b107_0_10,TUT-acoustic-scenes-2017,0
b107_20_30,TUT-acoustic-scenes-2017,0
b107_10_20,TUT-acoustic-scenes-2017,0
b107_50_60,TUT-acoustic-scenes-2017,0
b107_30_40,TUT-acoustic-scenes-2017,0
b107_40_50,TUT-acoustic-scenes-2017,0
b107_100_110,TUT-acoustic-scenes-2017,0
b107_90_100,TUT-acoustic-scenes-2017,0
b107_110_120,TUT-acoustic-scenes-2017,0
b107_60_70,TUT-acoustic-scenes-2017,0
b107_70_80,TUT-acoustic-scenes-2017,0
b107_80_90,TUT-acoustic-scenes-2017,0
a104_10_20,TUT-acoustic-scenes-2017,0
a104_0_10,TUT-acoustic-scenes-2017,0
a104_20_30,TUT-acoustic-scenes-2017,0
a104_170_180,TUT-acoustic-scenes-2017,0
a104_160_170,TUT-acoustic-scenes-2017,0
a104_150_160,TUT-acoustic-scenes-2017,0
a104_100_110,TUT-acoustic-scenes-2017,0
a104_110_120,TUT-acoustic-scenes-2017,0
a104_90_100,TUT-acoustic-scenes-2017,0
a104_70_80,TUT-acoustic-scenes-2017,0
a104_60_70,TUT-acoustic-scenes-2017,0
a104_80_90,TUT-acoustic-scenes-2017,0
a104_40_50,TUT-acoustic-scenes-2017,0
a104_50_60,TUT-acoustic-scenes-2017,0
a104_30_40,TUT-acoustic-scenes-2017,0
a104_140_150,TUT-acoustic-scenes-2017,0
a104_120_130,TUT-acoustic-scenes-2017,0
a104_130_140,TUT-acoustic-scenes-2017,0
a140_120_130,TUT-acoustic-scenes-2017,0
a140_140_150,TUT-acoustic-scenes-2017,0
a140_130_140,TUT-acoustic-scenes-2017,0
a140_160_170,TUT-acoustic-scenes-2017,0
a140_150_160,TUT-acoustic-scenes-2017,0
a140_170_180,TUT-acoustic-scenes-2017,0
a140_100_110,TUT-acoustic-scenes-2017,0
a140_110_120,TUT-acoustic-scenes-2017,0
a140_90_100,TUT-acoustic-scenes-2017,0
a140_80_90,TUT-acoustic-scenes-2017,0
a140_60_70,TUT-acoustic-scenes-2017,0
a140_70_80,TUT-acoustic-scenes-2017,0
a140_30_40,TUT-acoustic-scenes-2017,0
a140_50_60,TUT-acoustic-scenes-2017,0
a140_40_50,TUT-acoustic-scenes-2017,0
a140_240_250,TUT-acoustic-scenes-2017,0
a140_250_260,TUT-acoustic-scenes-2017,0
a140_260_270,TUT-acoustic-scenes-2017,0
a140_220_230,TUT-acoustic-scenes-2017,0
a140_210_220,TUT-acoustic-scenes-2017,0
a140_230_240,TUT-acoustic-scenes-2017,0
a140_200_210,TUT-acoustic-scenes-2017,0
a140_190_200,TUT-acoustic-scenes-2017,0
a140_180_190,TUT-acoustic-scenes-2017,0
a140_0_10,TUT-acoustic-scenes-2017,0
a140_20_30,TUT-acoustic-scenes-2017,0
a140_10_20,TUT-acoustic-scenes-2017,0
b108_100_110,TUT-acoustic-scenes-2017,0
b108_90_100,TUT-acoustic-scenes-2017,0
b108_110_120,TUT-acoustic-scenes-2017,0
b108_20_30,TUT-acoustic-scenes-2017,0
b108_10_20,TUT-acoustic-scenes-2017,0
b108_0_10,TUT-acoustic-scenes-2017,0
b108_70_80,TUT-acoustic-scenes-2017,0
b108_80_90,TUT-acoustic-scenes-2017,0
b108_60_70,TUT-acoustic-scenes-2017,0
